CANAL;PUBLICO;TEMA;SUBTEMA;PERGUNTA;ALTERNATIVAS;CORRETA;FEEDBACK;FONTE;RESPONSAVEL
;GG|GO|CN|Guru|GA|GA Multicanal;Móvel_Fibra;Planos Controle;"Qual é uma das vantagens do plano Vivo Controle?
a) Internet ilimitada para todos os aplicativos
b) Ligações e SMS apenas para Vivo
c) Cortesia de 6 meses de Amazon Prime
d) Acesso gratuito ao Netflix Premium";A|B|C|D;C;;Book Controle;Liberto
;GG|GO|CN|Guru|GA|GA Multicanal;Móvel_Fibra;Planos Controle;"Qual aplicativo de transporte NÃO consome a franquia de internet no plano Controle?
a) Uber
b) Moovit
c) 99
d) Google Maps";A|B|C|D;B;;Book Controle;Liberto
;GG|GO|CN|Guru|GA|GA Multicanal;Móvel_Fibra;Planos Controle;"O que é necessário para acessar a rede 5G da Vivo?
a) Apenas estar em uma capital
b) Ter um chip 3G
c) Ter um aparelho compatível e estar em área de cobertura
d) Assinar o plano Vivo Fibra";A|B|C|D;C;;Book Controle;Liberto
;GG|GO|CN|Guru|GA|GA Multicanal;Móvel_Fibra;Planos Controle;"Qual é o benefício do plano Controle Educação?
a) Acesso a cursos universitários
b) Acesso a cursos profissionalizantes pela plataforma Vivae
c) Aulas ao vivo com professores da Vivo
d) Descontos em escolas particulares";A|B|C|D;B;;Book Controle;Liberto
;GG|GO|CN|Guru|GA|GA Multicanal;Móvel_Fibra;Planos Controle;"O plano Controle Saúde oferece acesso a qual serviço?
a) SUS Digital
b) Vale Saúde Sempre
c) Vivo Med
d) Saúde Total";A|B|C|D;B;;Book Controle;Liberto
;GG|GO|CN|Guru|GA|GA Multicanal;Móvel_Fibra;Planos Controle;"Qual é o valor do upgrade para o plano Vale Saúde Familiar?
a) R$ 5/mês
b) R$ 10/mês
c) R$ 7/mês
d) R$ 15/mês";A|B|C|D;C;;Book Controle;Liberto
;GG|GO|CN|Guru|GA|GA Multicanal;Móvel_Fibra;Planos Controle;"O plano Controle Netflix inclui qual tipo de assinatura?
a) Netflix Premium
b) Netflix Padrão com anúncios
c) Netflix Básico
d) Netflix Kids";A|B|C|D;B;;Book Controle;Liberto
;GG|GO|CN|Guru|GA|GA Multicanal;Móvel_Fibra;Planos Controle;"Quantos acessos simultâneos são permitidos no plano Controle Netflix?
a) 1
b) 2
c) 3
d) Ilimitado";A|B|C|D;B;;Book Controle;Liberto
;GG|GO|CN|Guru|GA|GA Multicanal;Móvel_Fibra;Planos Controle;"O plano Controle Entretenimento oferece acesso a:
a) TV a cabo tradicional
b) Vivo Play App com mais de 40 canais
c) Netflix Premium
d) Amazon Prime Video";A|B|C|D;B;;Book Controle;Liberto
;GG|GO|CN|Guru|GA|GA Multicanal;Móvel_Fibra;Planos Controle;"Qual serviço de música está incluso no plano Controle Música?
a) Spotify
b) Deezer
c) Apple Music
d) Tidal";A|B|C|D;C;;Book Controle;Liberto
